Words;Status
3d printing materials;Term
4d printing;Term
abrasion;Term
abrasive wear;Term
acoustic emission testing;Term
additive manufacturing;Term
adhesion;Term
advanced ceramics;Term
Agop;Named Entity
Al2O3;Term
ALD;Abb
alloying elements distribution;Term
amorphous metals;Term
anisotropy;Term
annealing;Term
atomic layer deposition;Term
austenitizing;Term
bainite;Term
bioactive glasses;Term
biodegradable polymers;Term
biomaterials;Term
boundary lubrication;Term
bulk metallic glasses;Term
CAD;Abb
calorimetry;Term
carbamide electrolyte;Term
carbide phases;Term
carbides particles;Term
carbon fiber reinforced plastic;Term
carbon nanotubes;Term
cementite;Term
ceramic coatings;Term
ceramic matrix composites;Term
CFRP;Abb
Chacón;Named Entity
Charles-Augustin de Coulomb;Named Entity
chemical vapor deposition;Term
chemical-thermal treatment;Term
cladding;Term
CMCs;Abb
CNTs;Abb
coating adhesion;Term
cold rolling;Term
cold spray technology;Term
cold welding;Term
composite materials;Term
conducting polymers;Term
conductive inks;Term
CPFEM;Abb
creep resistance;Term
critical resolved shear stress;Term
CRSS;Abb
cryo-milling;Term
cryogenic treatment;Term
crystal growth;Term
crystal plasticity finite element method;Term
crystallographic texture;Term
CVD;Abb
David Tabor;Named Entity
DBTT;Abb
deformation mechanisms;Term
dendritic solidification;Term
density functional theory;Term
detonation nanostructures coating;Term
detonation spraying behavior;Term
DFT;Abb
DIC;Abb
dielectric materials;Term
diffusion bonding;Term
diffusion saturation process;Term
digital image correlation;Term
digital twin technology in materials science;Term
direct metal laser sintering;Term
direct write technologies;Term
dislocation dynamics;Term
dislocation hardening;Term
dislocation substructures;Term
divertor candidate materials;Term
DMA;Abb
DMLS;Abb
doping;Term
ductile-to-brittle transition temperature;Term
ductility;Term
dynamic mechanical analysis;Term
EBSD;Abb
ECAs;Abb
Echávarri;Named Entity
eddy current testing;Term
EDS;Abb
EDX;Abb
EIS;Abb
electrical conductivity;Term
electrically conductive adhesives;Term
electrochemical impedance spectroscopy;Term
electrocorundum abrasive;Term
electrolyte plasma nitriding;Term
electrolytic-plasma nitriding;Term
electromagnetic shielding;Term
electron and ion beams;Term
electron backscatter diffraction;Term
electron beam processing;Term
electron microscopy;Term
electron probe microanalysis;Term
electrophoretic deposition;Term
electrospinning;Term
elemental composition mapping;Term
energy dispersive x-ray spectroscopy;Term
EPMA;Abb
erosion;Term
eutectic systems;Term
fatigue life;Term
fcc crystal lattice;Term
fd3m spatial group;Term
ferrite-pearlite structure;Term
ferroelectric materials;Term
FGMs;Abb
FIB;Abb
fiber reinforced composites;Term
flexible electronics materials;Term
flexible substrates;Term
focused ion beam (fib) milling;Term
forging;Term
fractography;Term
fracture mechanics;Term
Frank Philip Bowden;Named Entity
friction;Term
functionally graded materials;Term
fusion reactor materials;Term
galvanic corrosion;Term
gas phase synthesis of nanoparticles;Term
glass transition temperature;Term
gradient coatings;Term
grain boundary engineering;Term
grain growth inhibitors;Term
grain refinement;Term
graphene;Term
Guerra;Named Entity
Guillaume Amontons;Named Entity
hall-petch relationship;Term
hardness testing;Term
Hasan;Named Entity
HEAs;Abb
heat treatment;Term
heat-resistance;Term
helium plasma exposure;Term
high entropy alloys;Term
high-speed steel;Term
high-speed steels;Term
high-strain-rate testing;Term
high-temperature superconductors;Term
high-throughput materials discovery;Term
HIP;Abb
Hirani;Named Entity
hot isostatic pressing;Term
HSS;Abb
hydrodynamic lubrication;Term
hydrogel materials;Term
hydrothermal synthesis;Term
impact toughness;Term
impedance spectroscopy;Term
inclusion analysis;Term
indentation hardness;Term
induction hardening;Term
Industrial Revolution;Named Entity
infrared spectroscopy;Term
inkjet printing of functional materials;Term
interfacial engineering;Term
intergranular corrosion;Term
intermetallic compounds;Term
internal stresses;Term
ion effects on materials;Term
ion implantation;Term
ionic liquids in materials processing;Term
IoT;Abb
isothermal transformation;Term
Jost;Named Entity
joule heating;Term
kinetic monte carlo simulation;Term
lamellar and packet martensite;Term
laser beams;Term
laser cladding;Term
laser peening;Term
laser powder bed fusion;Term
laser-induced breakdown spectroscopy;Term
lattice curvature-torsion;Term
LCPs;Abb
lead-free solders;Term
LIBS;Abb
lightweight alloys;Term
liquid crystal polymers;Term
low-k dielectric materials;Term
LPBF;Abb
lubricant;Term
lubrication;Term
luminescent materials;Term
Lăpuşteanu;Named Entity
m6 c-type carbide;Term
magnesium alloys;Term
magnetic materials;Term
magnetic shape memory alloys;Term
magnetostriction;Term
Manini;Named Entity
martensite phase components;Term
martensitic transformation;Term
material fatigue;Term
Mathia;Named Entity
mc-type carbide;Term
mechanical alloying;Term
mechanical testing;Term
mechanochemical synthesis;Term
MEMS;Abb
metal foams;Term
metal injection molding;Term
metal matrix composites;Term
metallography;Term
metastable phases;Term
microalloying;Term
microelectromechanical systems;Term
microfluidic materials;Term
microhardness;Term
micromachining;Term
microprobe analysis;Term
microstructure evolution;Term
microtensile testing;Term
microwave sintering;Term
MIM;Abb
mineral wool insulation;Term
mixed lubrication;Term
MMCs;Abb
MOFs;Abb
molybdenum disulfide;Term
monocrystalline carbides;Term
MoS2;Abb
MOVPE;Abb
MRI;Abb
nano-engineered coatings;Term
nano-tribology;Term
nanocomposites;Term
nanofibers;Term
nanoimprint lithography;Term
nanolithography;Term
nanoparticles;Term
nanoscale additive manufacturing;Term
nanoscale materials;Term
nanowires;Term
NDT;Abb
near net shape manufacturing;Term
NEMS;Abb
neutron damage;Term
nitrogen martensite;Term
non-destructive testing;Term
nonlinear optical materials;Term
Nosonovsky;Named Entity
OLED;Abb
OLEDs;Abb
optical coatings;Term
optical microscopy;Term
organic light-emitting diodes (oled) materials;Term
organometallic frameworks;Term
oxidation resistance;Term
Paleu;Named Entity
particle reinforced composites;Term
passivation;Term
PECVD;Abb
PEO;Abb
permeability;Term
Peter Jost;Named Entity
phase composition;Term
phase composition analysis;Term
phase field modeling;Term
photolithography;Term
photonic crystals;Term
photovoltaic materials;Term
piezoelectric ceramics;Term
piezoelectric materials;Term
plasma detachment;Term
plasma electrolytic oxidation;Term
plasma enhanced chemical vapor deposition;Term
plasma flows;Term
plasma generation;Term
plasma-surface interactions;Term
polymer blends;Term
polymer nanocomposites;Term
polymerization;Term
porosity;Term
powder metallurgy;Term
precipitation hardening;Term
Prem Ananth.M;Named Entity
PVD;Abb
pyrolysis;Term
quantum dots;Term
quantum materials;Term
quenching;Term
R6M5;Abb
radiography;Term
rapid prototyping;Term
rapid sintering techniques;Term
reactive ion etching;Term
recrystallization;Term
redox reactions;Term
refractory materials;Term
reinforcement phases;Term
residual austenite;Term
resin transfer molding;Term
rheology;Term
Richard Stribeck;Named Entity
REI;Abb
rolling;Term
rolling friction;Term
RTM;Abb
Sagbas;Named Entity
SAW;Abb
scaffolding materials;Term
