Words;Status
Accenture;Named Entity
Android;Named Entity
Apple App Store;Named Entity
Axie Infinity;Named Entity
BBC Дүниежүзілік қызметінің;Named Entity
Bitfinex Alpha-дағы;Named Entity
Bitlayer;Named Entity
Bitlayer Mainnet V1;Named Entity
Bitlayer-ге;Named Entity
Bitlayer-де;Named Entity
Bitlayer-дің;Named Entity
BitVM;Term
BitVM парадигмасына;Term
BitVM қауымдастығы;Term
Bluehole;Named Entity
borsh;Term
BTC;Term
byte array;Term
Cardano;Named Entity
Casper;Named Entity
Chacha20;Named Entity
Chainalysis;Named Entity
Computerworld;Named Entity
Computerworld-те;Named Entity
COVID-19;Named Entity
CryptoKitties;Named Entity
defi әмиян;Term
Diamond Trading Company;Named Entity
Digiconomist;Named Entity
Discord;Named Entity
Discord қауымдастықтарында;Term
DLC;Term
Electronic Arts;Named Entity
EOS Mainnet;Named Entity
EOS Nation;Term
EOS Network;Term
EOS Network Foundation;Term
EOSIO;Term
Epic Games;Named Entity
Ethereum Classic;Named Entity
Ethereum Merge;Named Entity
Ethereum Name Service;Named Entity
ethereum блокчейн;Term
Ethereum жаңартулары;Term
Ethereum желісі;Term
Ethereum экожүйесінде;Term
Ethereum үлесі;Term
Ethereum-ның Solidity;Term
Everledger;Named Entity
Explorer сайты;Term
exsat;Named Entity
Fair Trade;Named Entity
Financial Times;Named Entity
Food Trust;Named Entity
Food Trust блокчейнін;Named Entity
Forbes;Named Entity
GameFi;Named Entity
Gartner;Named Entity
Google Play Store;Named Entity
Handshake Network;Named Entity
HTTP сұрауының;Term
Hyperledger;Named Entity
Hyperledger Burrow;Named Entity
Hyperledger Fabric;Named Entity
IBM Food Trust;Named Entity
IBM-тің блокчейнге негізделген бақылау қызметімен;Named Entity
Icertis;Named Entity
Imogen Heap;Named Entity
International Data Corp;Named Entity
ISO 307 Техникалық Комитетін;Named Entity
JPMorgan Chase;Named Entity
JS кітапханасын;Named Entity
Khan Academy;Named Entity
krafton;Named Entity
Lamport;Named Entity
Lamports;Named Entity
Magic Eden;Named Entity
Mercedes-Benz;Named Entity
Monax;Named Entity
Monero;Named Entity
Mycelia;Named Entity
Namecoin;Named Entity
New York Times;Named Entity
NFT жинақтарыңызды;Term
NFT негізіндегі ойындар;Term
Nxt қауымдастығы;Named Entity
OKX Ventures;Named Entity
On-chain деректеріне;Term
OpenNIC;Named Entity
Oracle;Named Entity
Oracle 21c;Named Entity
Oracle 21c дерекқорында;Named Entity
Ordinals;Named Entity
Ordinals сауда қауымдастығын;Named Entity
Pfizer;Named Entity
Phantom;Named Entity
Play-to-earn;Term
Polkadot;Named Entity
Polygon;Named Entity
PricewaterhouseCoopers;Named Entity
proof-of-stake;Term
proof-of-work;Term
PRS for Music;Named Entity
Pump.fun;Named Entity
QR кодтарымен;Term
Quorum;Named Entity
REST API;Named Entity
RSA;Term
Runes;Named Entity
Rust;Named Entity
Siemens;Named Entity
sol;Term
Solana;Named Entity
Solana Labs;Term
Solana Labsw;Named Entity
Solana желісі;Term
Solana экожүйесінде;Term
Solana әмиян;Term
Solana's Wallet-Adapter;Named Entity
Standards Australia;Named Entity
Steam;Named Entity
Steam цифрлық дүкен;Named Entity
Surety;Named Entity
Take Two Interactive;Named Entity
Taproot;Named Entity
The Handshake Network;Named Entity
The Wall Street Journal;Named Entity
Tracer;Named Entity
Türkiye;Named Entity
Ubisoft;Named Entity
UBS;Named Entity
Unilever;Named Entity
Unstoppable Domains;Named Entity
Valve;Named Entity
Valve корпорациясы;Named Entity
VanEck;Named Entity
Visa;Named Entity
Wallet Guard;Named Entity
Walmart;Named Entity
Web 3.0;Named Entity
web3;Named Entity
Web3 жобалары;Term
Web3 ойын;Term
Web3 технологиялық;Term
Web3 экожүйесіне;Term
Web3 қауіпсіздік кеңейтімдері;Term
Web3 қызметтері;Term
YouTube;Named Entity
Адам Бэк;Named Entity
Азия;Named Entity
актив;Term
активтер;Term
алаяқтық;Term
алаяқтықтар;Term
алгоритм;Term
алгоритмдер;Term
алдамшы дауыс;Term
алдыңғы блок;Term
алдыңғы блоктар;Term
Америка Құрама Штаттары;Named Entity
Аппараттық әмияндар;Term
Аргентина;Named Entity
асимметриялық криптография;Term
асимметриялық криптографиялық алгоритмдер;Term
Асимметриялық шифрлау;Term
Асыл тауарларды өндіру;Named Entity
аутентификация;Term
ашық блокчейндер;Term
ашық кілт;Term
ашық кілттер;Term
ашық кілтті криптография;Term
ашықтық;Term
аяқталмаған транзакцияларды;Term
АҚШ Мұражай және кітапхана қызметтері институтының;Named Entity
АҚШ-тың Бағалы Қағаздар және Биржалар жөніндегі Комиссиясы;Named Entity
ақылды келісімшарт;Term
ақылды келісімшарттар;Term
байт буфер;Term
балама консенсус алгоритмін;Term
банктік шоты;Term
бастапқы блокқа;Term
бастапқы монета ұсыныстарын;Term
Батыс;Named Entity
бағдарлама;Term
бағдарлама деректер;Term
бағдарлама идентификаторы;Term
бағдарламалар;Term
бағдарламалық жасақтама;Term
бағдарламалық әмияндар;Term
беделді әмиянды;Term
белсенді Биткоин пайдаланушылары;Term
Беренберг;Named Entity
Берклидегі;Named Entity
Билл Гейтс;Named Entity
Биржа Қорлары;Named Entity
Биржалық трейдерлер;Term
биткоин;Term
Биткоин Ordinals;Named Entity
Биткоин ақ қағазын;Term
Биткоин Биржа Қорлары;Named Entity
биткоин блокчейн;Term
биткоин желісі;Term
биткоин транзакциялар;Term
Биткоиндер;Term
биткоиндік транзакция;Term
Биткоиннің дизайны;Term
биткойн;Term
биткойн-майнинг фермалары;Term
блок;Term
блок тақырыбы;Term
блок тақырыбының хэші;Term
блок өндірушіге;Term
Блокатон;Named Entity
блоктар;Term
блоктық хэштерді;Term
блоктың тақырыбындағы;Term
блоктың хэш;Term
блокхашты;Term
блокчейн;Term
блокчейн валютасымен;Term
Блокчейн дерекқордағы;Term
блокчейн жазбалар;Term
блокчейн желілері;Term
блокчейн желісі;Term
блокчейн жобалар;Term
блокчейн жүйелер;Term
блокчейн жүйесі;Term
блокчейн кесте мүмкіндігін;Term
блокчейн майнингін;Term
блокчейн ойындары;Term
Блокчейн ойыны;Term
блокчейн протоколдарының;Term
блокчейн протоколы;Term
блокчейн протоколының инженериясы;Term
блокчейн терминологиясы;Term
Блокчейн технологияларын;Term
блокчейн технологиялық компаниясы;Term
блокчейн технологиясы;Term
блокчейн транзакция;Term
блокчейн транзакциялар;Term
блокчейн форктары;Term
блокчейн шешімдері;Term
Блокчейн қауіпсіздігінің;Term
блокчейн қосымшаларын;Term
блокчейн қосқыштары;Term
блокчейн әмияндарының;Term
блокчейнге негізделген жүйені;Term
блокчейнге негізделген ойындар;Term
блокчейнге ұқсас протоколды;Term
блокчейндер;Term
блокчейннің өзара әрекеттесуі;Term
бопсалаушы бағдарламалардан;Term
Бунданг-гу;Named Entity
буфер;Term
бэк-офис;Term
бірегей идентификаторларды;Term
бірегей хэші;Term
Біріккен Ұлттар Ұйымының Еуропалық экономикалық комиссиясы;Named Entity
БҚ;Named Entity
БҚжБжК;Term
бүйірлік тізбекке;Term
Бүйірлік тізбектер;Term
В. Скотт Сторнетта;Named Entity
валидатор;Term
валидаторлар;Term
валюта;Term
валюталар;Term
веб-сайт;Term
веб-сайттар;Term
Вегнер;Named Entity
венчурлық инвестициялар;Term
виртуалды валюталардың;Term
виртуалды элементтерді;Term
виртуалды үй жануары;Term
Гана;Named Entity
генезис-блок;Term
Германия;Named Entity
гибридті блокчейн;Term
гибридті блокчейндер;Term
дауыс беру жүйесі;Term
депозиттерді қорғау схемаларына;Term
деректер түйіндері;Term
деректерді сақтау;Term
деректерді іріктеуді;Term
деңгей;Term
Джанет Йеллен;Named Entity
Джесси А Эллис;Named Entity
домендік атау қызметтерін;Term
Дора Юэ;Named Entity
Дэвид Чаум;Named Entity
Дэйв Байер;Named Entity
Дэйв Байердің;Named Entity
Дүниежүзілік банкаралық қаржылық телекоммуникациялар қоғамы;Named Entity
дәстүрлі активтерді;Term
екі факторлы аутентификация;Term
екілік нысанды көрсету сериялық;Named Entity
екінші деңгейлі жеткізушілерге;Term
ерікті деректерді;Term
есеп;Term
есеп айырысу;Term
есептеу кластерлері;Term
есептеу сенімі;Term
есептеу қуаты;Term
есептеуіш қуаттылықтың;Term
есептік жазба;Term
Есептік жазбалар;Term
Еуропалық Одақ;Named Entity
жады пулы;Term
жазба;Term
жазбалар;Term
жазбаларды сақтау;Term
жазбаларын сақтаудағы;Term
Жалған Web3 сайттары;Term
Жапонияда;Named Entity
жарамды транзакциялар;Term
жарамды хэш;Term
жария тізілімі;Term
жасырын ақпаратты;Term
жаңа транзакция блоктарын;Term
жаһандық блокчейн индустриясының;Term
жаһандық блокчейн форумын;Named Entity
жедел несиелерді;Term
жеке банкингтен;Term
жеке басын;Term
жеке блоктар;Term
жеке блокчейн;Term
жеке блокчейндер;Term
жеке кілт;Term
жеке кілттер;Term
Жеке транзакциялар;Term
жекешелендірілген блокчейндердің;Term
жел;Term
желер;Term
желі;Term
желі жаңартуы;Term
желі түйіндеріне;Term
желі әкімшілері;Term
желілер;Term
желінің түйіндері;Term
жетім блоктар;Term
жеңіл блокчейн;Term
Жеңіл блокчейндер;Term
жеңілдетілген блокчейндер;Term
жоғары деңгейлі доменді;Term
жоғары таратылған есептеу жүйесін;Term
жоғары өткізу қабілетті;Term
жылжымайтын мүлік;Term
Жібек жолы;Named Entity
жұмыс дәлелі;Term
Зак Андерсон;Named Entity
заманауи дауыс беру жүйесін;Term
заттардың интернеті;Term
заңды келісімшарттар;Term
заңды төлем құралы;Term
заңсыз сатып алулар;Term
зиянды транзакция;Term
зиянды қатысушылардан;Term
зияткерлік меншік;Term
Ив Ла Роуз;Named Entity
идентификатор;Term
идентификаторларды;Term
Инвесторлардың Көңіл-күйі;Named Entity
интернет;Term
Интернет-инженерлік жұмыс тобы;Named Entity
инфляция;Term
Калифорния;Named Entity
Капитал Нарығы;Term
Капитал Нарығы Кеңесі;Named Entity
келісім-шартар;Term
келісімшарттар;Term
Кембридж университеті;Named Entity
Кембридж университетінің;Named Entity
клиенттік код;Term
клиринг процесі;Term
код;Term
компания акциялары;Term
компьютерлік желі;Term
консенсус;Term
консенсус алгоритмін;Term
консенсус хаттамасын;Term
консорциум блокчейн;Term
консорциум блокчейндер;Term
консорциум мүшелері;Term
контрафактілік;Term
Контрафактілік Қарсы Блокатон Форумын;Term
корпоративтік инвестиция;Term
крипто;Term
крипто қоғамдастығы;Term
крипто ұрлаушылар;Term
криптоактивтер;Term
криптовалюта;Term
криптовалюта биржалары;Term
криптовалюта биржасы;Term
криптовалюта жүйелері;Term
криптовалюта транзакциялары;Term
криптовалюта қорлары;Term
криптовалюта әмияндарына;Term
криптовалюта әмияны;Term
криптовалюталар;Term
Криптовалюталарды Реттеу;Term
криптограф;Term
криптография;Term
криптографиялық инновациялар;Term
криптографиялық хэштер;Term
криптографиялық хэші;Term
криптографиялық іс-шаралар;Term
криптонарықтағы;Term
кілт;Term
кілт алмасу;Term
кілттер;Term
кілттер жұбы;Term
Кілттік жұптар;Term
кіру;Term
кіру мәліметтері;Term
кітапхана;Term
Ла Роуз;Named Entity
Ла Роуздың;Named Entity
майнер;Term
майнинг;Term
Марк Кубан;Named Entity
маркшейдерлердің халықаралық федерациясы;Named Entity
медициналық карта;Term
медициналық карталарын;Term
мекенжай;Term
мекенжайлар;Term
мемкоиндарды;Term
мемлекеттік жеке куәліктер;Term
мемлекеттік сәйкестендірулер;Term
меншік құқығын;Term
метаверсті;Term
микросақтандыру;Term
Мони Наор;Named Entity
Моторлы көліктер;Named Entity
мүлікке иелік;Term
Мүліктік дау;Term
мәліметтер базасы;Term
мөлдір;Term
мөлдірлік;Term
Накамото;Named Entity
нарықтық капиталдандыруға;Term
негізгі NFT платформасы;Term
негізгі желісін;Term
негізгі тізбек;Term
несие картасы;Term
Нигерия;Named Entity
Нидерланд Стандарттау ұйымы;Named Entity
Нидерландыға;Named Entity
Николай Хэмптон;Named Entity
Николас Уивер;Named Entity
нұсқау;Term
нұсқаулар;Term
нұсқаулық деректер;Term
ойыншы идентификаторын;Term
орталық орган;Term
орталықсыз;Term
орталықсыздандыру;Term
орталықсыздандырылған;Term
орталықтандырылмаған блокчейн;Term
Орталықтандырылмаған блокчейндер;Term
Орталықтандырылмаған жүйедегі;Term
орталықтандырылмаған қаржы;Term
орталықтандырылмаған қауіпсіздік;Term
орталықтандырылмаған қолданбаларыңыздың;Term
орталықтандырылған биржаларға;Term
орталықтандырылған блокчейн;Term
орталықтандырылған блокчейндер;Term
ортақ индекспен;Term
Ортақ экономика;Term
оффлайн әмиянда;Term
Оңтүстік кореялық;Named Entity
Оңтүстік Кореяның;Named Entity
пайда;Term
пайдаланушы;Term
пайдаланушылар;Term
пайдаланушының құпиялылығын;Term
пайдалы;Term
параметрлік сақтандыру;Term
Пекин;Named Entity
протокол;Term
протоколдар;Term
Ребека Моэн;Named Entity
реттеуші өзгерістер;Term
реттік кілтін;Term
рұқсат;Term
рұқсат етілген блокчейндер;Term
рұқсат етілген жеке блокчейн;Term
сайлау;Term
сайлаудағы;Term
сайлауларда;Term
сайлаушылардың;Term
сандық актив;Term
сандық активтер;Term
Сандық валютаны;Term
Сатоши Накамото;Named Entity
Сатоши Накамотоның;Named Entity
сатылым;Term
сатылымдар;Term
сақтандыру;Term
сеанс кілтін;Term
сенімді тарап қол;Term
сенімді тұлға;Term
сенімсіз көпір;Term
сенімсіздік;Term
сериализатор;Term
сертификаттардың аутентификациясы;Term
серіктестік;Term
Сет Грин;Named Entity
симметриялық криптография;Term
симметриялық криптографиялық алгоритмдер;Term
симметриялық шифрлау;Term
Синтия Дворк;Named Entity
скрипт;Term
сланецті газ;Term
смарт келісімшарттар;Term
Соннамның;Named Entity
Сторнетта;Named Entity
Стюарт Хабер;Named Entity
табыс;Term
тарап тәуекелі;Term
тарату желісін;Term
таратылған желілерді;Term
ТБИ;Term
тексеру процесінен;Term
терават-сағат;Term
Терилл Дикки;Named Entity
тең-теңімен энергия саудасында;Term
Тим Харфорд;Named Entity
токен;Term
токендерді;Term
токенизация;Term
Тор Браузері;Named Entity
транзакция;Term
транзакция деректер;Term
Транзакция мазмұны;Term
транзакциялар;Term
транзакциялық комиссиялар;Term
транзакцияға қауіпсіз қол қоюды;Term
трансшекаралық сауда;Term
тізбек;Term
тізбектер;Term
Тізбектің дәлдігі;Term
тізім;Term
тіркеушінің;Term
түйін;Term
түйіндер;Term
түпнұсқа;Term
тұлға;Term
тұлғалар;Term
Тұтыну Бағаларының Индексі;Term
төлем;Term
төлемдер;Term
уақыт белгілері;Term
уақыт белгілеу;Term
уақыт белгісі;Term
уақытша әмиян;Term
фишинг құралы;Term
форк;Term
форктары;Term
форктер;Term
Хабер;Named Entity
Халықаралық Есеп Айырысу Банкі;Named Entity
Халықаралық компьютерлік ғылым институтының;Named Entity
халықаралық стандарттау ұйымына;Named Entity
Халықаралық электр байланысы одағы;Named Entity
Ханчжоу интернет-соты;Named Entity
хэш;Term
хэширлеуге;Term
хэштелген;Term
хэштеу;Term
хэштеу алгоритмі;Term
Хёнчул Парк;Named Entity
цифрлық активтер;Term
цифрлық активтің;Term
цифрлық валюта;Term
цифрлық валюталар;Term
цифрлық сауда палатасының;Named Entity
Шанхай;Named Entity
Шанхай-Капелла;Named Entity
шарттық міндеттемелерді;Term
Швецияға;Named Entity
шифрлау;Term
шот;Term
шоттар;Term
экожүйесі;Term
экономика;Term
Электротехника және электроника инженерлері институты;Named Entity
электротехникалық стандарттау жөніндегі Еуропалық комитет;Named Entity
элементінің идентификаторы;Term
Эли Понятовский;Named Entity
энергияны тұтыну;Term
Энни Ли;Named Entity
этикалық стандарттар;Term
Эфириум блокчейн;Term
ішкі блокчейн шешімдері;Term
Қаранғы желі;Term
Қаржы институттары;Term
қаржылық ашықтықты;Term
қарсы тарап тәуекелі;Term
қате;Term
қателерді;Term
қатты форк;Term
Қатты форктер;Term
қауіпсіздік;Term
қолданба;Term
қолданбалар;Term
қолжетімді;Term
қолжетімділік;Term
қолжетімсіз;Term
қолтаңба;Term
қорғаныс;Term
қоғамдық блокчейн;Term
қоғамдық блокчейндер;Term
қоғамдық индекске;Term
қысқа мерзімді ұстаушылардың;Term
Қытай;Named Entity
Қытайда;Named Entity
Қытайдың;Named Entity
Қытайлық;Named Entity
құмар ойын;Term
құмар ойын қызметтерін;Term
құмар ойындар;Term
құпия кілт;Term
құпия кілттер;Term
құпиялылық;Term
құқықтық белгісіздіктің;Term
үлес;Term
Үлестіру;Term
үшінші тараптың тексеру;Term
Ұлттық стандарттар және технологиялар институты;Named Entity
Ұлыбритания;Named Entity
ұрлаушы;Term
ұрлаушылар;Term
Әділ Сауда;Named Entity
әлемдегі EOS қауымдастығын;Named Entity
әмиян;Term
әмиян мекенжайлары;Term
әмиян мекенжайы;Term
әмиян стандартын;Term
әмияндар;Term
әмияндарға қолдау;Term
әрекетші;Term
өзін-өзі сақтау;Term
өкілеттігін;Term
өкілеттікті;Term
Елизавета I;Named Entity
